reference_code,pmid,doi
67EPP/DAW,6016604,10.1016/S0021-9258(19)81449-7
67HIR/GRE,6022873,10.1016/S0021-9258(18)96047-3
67LOM/GRE,6033708,10.1016/0003-9861(67)90352-9
67WOL,6061417,10.1016/S0021-9258(18)99514-1
67PLO/CLE,6061708,10.1016/S0021-9258(18)95802-3
80ELM/HAS,6243283,10.1016/S0021-9258(19)86229-4
81HIN/POL,6272654,10.1016/0003-9861(81)90344-1
82GUY/THA,6284052,10.1016/0003-9861(82)90110-2
82GUY,6293382,10.1016/0003-9861(82)90315-0
83KAT/SUE,6370350,
84UCH/TSU,6389524,10.1093/oxfordjournals.jbchem.a134863 
84WAS/DAU,6391537,10.1021/bi00317a015
84BLA/COC,6433972,10.1021/bi00306a009
84KOL/EGG,6489933,10.1515/bchm2.1984.365.2.847
84RAG/LJU,6608524,10.1016/S0021-9258(17)43122-X
80CAM/SGA,6778396,10.1016/0003-9861(80)90098-3
81GRI/CLE,6794611,10.1021/bi00523a002
82SAL/JOR,6812503,10.1016/0003-9861(82)90487-8
83YAM/SAI,6822536,10.1016/S0021-9258(18)33062-X
83MIL/RYC,6852021,10.1111/j.1432-1033.1983.tb07443.x
83SEL/MAN,6863314,10.1016/S0021-9258(18)32137-9
80FUK/OBO,6987227,10.1016/S0021-9258(19)85794-0
80JAF/COH,6988421,10.1016/S0021-9258(19)85684-3
80LER/COH,6997302,10.1016/S0021-9258(18)43565-X
80COO/BLA,7000186,10.1021/bi00562a023
81SUG/VEI,7197134,
81MER/MCA,7198894,10.1016/0003-9861(81)90416-1
80TER/RAB,7388069,
80CHE/HED,7437498,10.1016/0301-4622(80)80041-x
81RAO/COH,7462219,10.1016/S0021-9258(19)69866-2
95WIS/KUS,7759484,10.1074/jbc.270.21.12428
95SCH/TRA,7827041,10.1021/bi00003a016
94LEU/COO,8117730,10.1021/bi00175a040
94KIS/TEW,8155816,10.1016/0301-4622(93)e0067-f
93SHI/CHE,8381432,10.1016/S0021-9258(18)53720-0
93BES/REB,8503876,10.1042/bj2920425
96ARA/RUZ,8639492,10.1021/bi952983w
96LI/ZHA,8910414,10.1074/jbc.271.45.28038
97STA/SUA,9319107,10.1242/jeb.200.8.1247
97CHA,9326504,10.1242/jeb.200.21.2789
98THO/JOR,9466792,10.1006/abio.1997.2490
98KIM/VOE,9506987,10.1074/jbc.273.12.6844
98KIS/TEW,9700925,10.1016/s0301-4622(98)00151-3
98LAE/EIS,9738901,10.1046/j.1432-1327.1998.2550618.x
98LOV/LAU,9799130,10.1046/j.1432-1327.1998.2570286.x
67ROS/ADA,12325368,10.1016/S0021-9258(18)99389-0
52STA,12980996,10.1016/S0021-9258(19)52387-0
52STR/KOR,12981017,10.1016/S0021-9258(19)52408-5
52MEY/SHA,12997210,10.1016/0003-9861(52)90109-4
52STE/OCH,12999746,10.1016/S0021-9258(18)55585-X
52FIT/DOU,12999827,10.1016/S0021-9258(18)44822-3
52NEI,12999850,10.1016/S0021-9258(18)44845-4
52EGG/HEM,13018181,10.1042/bj0520156
53MAS,13032036,10.1042/bj0530072
53SIE/POT,13034773,10.1016/S0021-9258(18)38451-5
53COH,13044776,10.1016/S0021-9258(18)71349-5
53KRE,13058835,10.1042/bj0540078
53KRE2,13058836,10.1042/bj0540082
53BUR/WIL,13058837,10.1042/bj0540086
53BOD,13061507,10.1016/S0021-9258(18)66196-4
53OLS/ANF,13061508,10.1016/S0021-9258(18)66197-6
53BUR/STA,13061511,10.1016/S0021-9258(18)66200-3
53RAT/ANS,13084582,10.1016/S0021-9258(18)66119-8
53MAH/WAK,13084616,10.1016/S0021-9258(18)66153-8
53HAR/KOR,13084629,10.1016/S0021-9258(19)52329-8
53STR,13092953,10.1016/0003-9861(53)90176-3
53JON,13107745,
53BRO,13117866,10.1016/S0021-9258(18)66092-2
53NIS/BAR,13117873,10.1016/S0021-9258(18)66099-5
53MIT/LAM,13117877,10.1016/S0021-9258(18)66103-4
53KAP/COL,13117879,10.1016/S0021-9258(19)77226-3
53GRE/BRO,13117926,10.1016/S0021-9258(19)77273-1
53TAL/DOB,13129261,10.1016/S0021-9258(18)49226-5
54GRE/MII,13130521,10.1016/S0021-9258(18)71290-8
54BOW/KER,13139680,10.1016/0003-9861(54)90176-9
54HEL,13143026,10.1016/S0021-9258(19)50835-3
54MAR/WIL,13159289,10.1016/0003-9861(54)90211-8
54WIL/BAN,13159356,10.1016/0003-9861(54)90072-7
54WAK/GRE,13163047,10.1016/S0021-9258(18)65679-0
54UTT/KUR,13163068,10.1016/S0021-9258(18)65700-X
54LIE/KOR,13163076,10.1016/S0021-9258(18)65708-4
54HAN/CRA,13174537,10.1016/S0021-9258(18)65646-7
54GOL,13174544,10.1016/S0021-9258(18)65653-4
54LEV/MEI,13192082,10.1016/S0021-9258(18)65554-1
54AXE/JAN,13192139,10.1016/S0021-9258(18)65513-9
54BER/JOK,13211603,10.1016/S0021-9258(18)65392-X
54SIS/STA,13211620,10.1016/S0021-9258(18)65409-2
54CHA,13211661,10.1016/S0021-9258(18)71215-5
54STR/HAR,13211662,10.1016/S0021-9258(18)71216-7
54ROS/GRU,13221579,10.1016/S0021-9258(18)71161-7
55GLA/BRO,13252007,10.1016/S0021-9258(19)52284-0
55KAU/ALI,13252014,10.1016/S0021-9258(19)52291-8
55ZEL,13271335,10.1016/S0021-9258(19)81413-8
55WIL/MCI,13271408,10.1016/S0021-9258(19)57195-2
55POD/STU,13271421,10.1016/S0021-9258(18)65925-3
56TOM,13278351,10.1016/S0021-9258(18)65907-1
56PAL/DOU,13278359,10.1016/S0021-9258(18)65915-0
56LAR/JAC,13292912,10.1016/0003-9861(56)90437-4
56TAL/MAR,13295222,10.1016/S0021-9258(18)65834-X
56STU/HOR,13295228,10.1016/S0021-9258(18)65840-5
56WOL/KAP,13295236,10.1016/S0021-9258(18)65848-X
56POD/MOR,13295245,10.1016/S0021-9258(18)65857-0
56STE/DEL,13295248,10.1016/S0021-9258(18)65860-0
56RAM/GIR,13314642,10.1016/0003-9861(56)90091-1
56GRE/COH,13319278,10.1016/S0021-9258(18)65716-3
56REI,13319297,10.1016/S0021-9258(18)65735-7
56AME/HOR,13319331,10.1016/S0021-9258(18)65337-2
56ALE/GRE,13331936,10.1016/S0021-9258(18)65303-7
56STE/COO,13345795,10.1016/S0021-9258(18)65225-1
56STE,13345796,10.1016/S0021-9258(18)65226-3
56HAK/GLA,13345810,10.1016/S0021-9258(18)65240-8
56FEU/WOL,13354402,
56RAT/ROC,13355454,10.1016/0003-9861(56)90044-3
56KAP/CIO,13357478,10.1016/S0021-9258(18)65197-X
56BOW/KER,13363434,10.1016/0003-9861(56)90270-3
